22/01/2014 22/01/2014, Iniciando monitor de actividad...
9/4/2014 8:49 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:51 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:52 PM, Iniciando interfase de entrada - UI...
9/4/2014 8:53 PM, Iniciando interfase de entrada - UI...
9/4/2014 9:21 PM, Iniciando interfase de entrada - UI...
9/4/2014 9:22 PM, Iniciando interfase de entrada - UI...
9/4/2014 9:23 PM, Iniciando interfase de entrada - UI...
9/4/2014 9:23 PM, Iniciando interfase de entrada - UI...
9/4/2014 9:24 PM, Iniciando interfase de entrada - UI...
9/23/2014 7:25 PM, Iniciando interfase de entrada - UI...
9/23/2014 7:26 PM, Error al generar ticket de entrada
9/23/2014 7:26 PM, Error al generar ticket de entrada
10/7/2014 7:30 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:30 PM, Error al generar ticket de entrada
10/7/2014 7:30 PM, Error al generar ticket de entrada
10/7/2014 7:32 PM, Error al generar ticket de entrada
10/7/2014 7:32 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:33 PM, Error al generar ticket de entrada
10/7/2014 7:33 PM, Error al generar ticket de entrada
10/7/2014 7:33 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:34 PM, Error al generar ticket de entrada
10/7/2014 7:35 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:35 PM, Error al generar ticket de entrada
10/7/2014 7:35 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:36 PM, Error al generar ticket de entrada
10/7/2014 7:36 PM, Error al generar ticket de entrada
10/7/2014 7:38 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:38 PM, Error al generar ticket de entrada
10/7/2014 7:49 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:51 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:52 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:52 PM, Error al generar ticket de entrada
10/7/2014 7:52 PM, Error al generar ticket de entrada
10/7/2014 7:52 PM, Error al generar ticket de entrada
10/7/2014 7:52 PM, Error al generar ticket de entrada
10/7/2014 7:52 PM, Error al generar ticket de entrada
10/7/2014 7:59 PM, Iniciando interfase de entrada - UI...
10/7/2014 7:59 PM, Error al generar ticket de entrada
10/7/2014 7:59 PM, Error al generar ticket de entrada
10/7/2014 7:59 PM, Error al generar ticket de entrada
10/7/2014 7:59 PM, Error al generar ticket de entrada
10/7/2014 7:59 PM, Error al generar ticket de entrada
10/7/2014 7:59 PM, Error al generar ticket de entrada
10/7/2014 8:14 PM, Iniciando interfase de entrada - UI...
10/7/2014 8:14 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Iniciando interfase de entrada - UI...
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:15 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:16 PM, Error al generar ticket de entrada
10/7/2014 8:17 PM, Iniciando interfase de entrada - UI...
10/7/2014 8:18 PM, Error al generar ticket de entrada
10/7/2014 8:18 PM, Error al generar ticket de entrada
10/7/2014 8:18 PM, Error al generar ticket de entrada
10/7/2014 8:18 PM, Error al generar ticket de entrada
10/7/2014 8:18 PM, Error al generar ticket de entrada
10/7/2014 8:18 PM, Error al generar ticket de entrada
10/7/2014 8:25 PM, Iniciando interfase de entrada - UI...
10/7/2014 8:25 PM, Error al generar ticket de entrada
10/7/2014 8:25 PM, Error al generar ticket de entrada
10/7/2014 8:26 PM, Iniciando interfase de entrada - UI...
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
