22/01/2014 22/01/2014, Iniciando monitor de actividad...
12/7/2015 5:16 PM, Iniciando interfase de entrada - UI...
12/7/2015 5:46 PM, Iniciando interfase de entrada - UI...
12/7/2015 6:42 PM, Iniciando interfase de entrada - UI...
12/7/2015 6:46 PM, Iniciando interfase de entrada - UI...
12/7/2015 6:47 PM, Iniciando interfase de entrada - UI...
12/7/2015 6:49 PM, Iniciando interfase de entrada - UI...
12/7/2015 7:02 PM, Iniciando interfase de entrada - UI...
12/9/2015 5:38 PM, Iniciando interfase de entrada - UI...
12/9/2015 5:39 PM, Iniciando interfase de entrada - UI...
12/9/2015 5:42 PM, Iniciando interfase de entrada - UI...
12/9/2015 5:43 PM, Iniciando interfase de entrada - UI...
12/9/2015 5:50 PM, Iniciando interfase de entrada - UI...
12/9/2015 5:51 PM, Iniciando interfase de entrada - UI...
12/9/2015 5:56 PM, Iniciando interfase de entrada - UI...
12/9/2015 5:58 PM, Iniciando interfase de entrada - UI...
12/9/2015 6:01 PM, Iniciando interfase de entrada - UI...
12/9/2015 6:08 PM, Iniciando interfase de entrada - UI...
12/9/2015 6:17 PM, Iniciando interfase de entrada - UI...
12/21/2015 4:39 PM, Iniciando interfase de entrada - UI...
12/21/2015 4:46 PM, Iniciando interfase de entrada - UI...
12/21/2015 5:01 PM, Iniciando interfase de entrada - UI...
12/21/2015 5:10 PM, Iniciando interfase de entrada - UI...
12/21/2015 5:15 PM, Iniciando interfase de entrada - UI...
12/21/2015 6:29 PM, Iniciando interfase de entrada - UI...
12/21/2015 7:34 PM, Iniciando interfase de entrada - UI...
12/22/2015 12:00 PM, Iniciando interfase de entrada - UI...
12/22/2015 2:08 PM, Iniciando interfase de entrada - UI...
12/22/2015 2:10 PM, Iniciando interfase de entrada - UI...
12/22/2015 2:15 PM, Iniciando interfase de entrada - UI...
12/22/2015 2:30 PM, Iniciando interfase de entrada - UI...
12/22/2015 2:40 PM, Iniciando interfase de entrada - UI...
12/22/2015 3:45 PM, Iniciando interfase de entrada - UI...
12/22/2015 3:46 PM, Iniciando interfase de entrada - UI...
12/22/2015 4:25 PM, Iniciando interfase de entrada - UI...
12/23/2015 4:09 PM, Iniciando interfase de entrada - UI...
12/23/2015 4:11 PM, Iniciando interfase de entrada - UI...
12/23/2015 4:12 PM, Iniciando interfase de entrada - UI...
12/23/2015 4:22 PM, Iniciando interfase de entrada - UI...
12/23/2015 4:46 PM, Iniciando interfase de entrada - UI...
12/23/2015 4:50 PM, Iniciando interfase de entrada - UI...
12/28/2015 6:54 PM, Iniciando interfase de entrada - UI...
12/28/2015 6:55 PM, Iniciando interfase de entrada - UI...
12/28/2015 6:56 PM, Iniciando interfase de entrada - UI...
12/28/2015 7:01 PM, Iniciando interfase de entrada - UI...
12/28/2015 7:15 PM, Iniciando interfase de entrada - UI...
12/28/2015 7:17 PM, Iniciando interfase de entrada - UI...
12/28/2015 8:41 PM, Iniciando interfase de entrada - UI...
12/28/2015 8:42 PM, Iniciando interfase de entrada - UI...
12/28/2015 8:48 PM, Iniciando interfase de entrada - UI...
12/28/2015 8:50 PM, Iniciando interfase de entrada - UI...
1/27/2016 7:32 PM, Iniciando interfase de entrada - UI...
1/27/2016 7:41 PM, Iniciando interfase de entrada - UI...
1/27/2016 7:41 PM, Iniciando interfase de entrada - UI...
1/27/2016 7:43 PM, Iniciando interfase de entrada - UI...
1/27/2016 7:43 PM, Iniciando interfase de entrada - UI...
1/27/2016 8:15 PM, Iniciando interfase de entrada - UI...
1/27/2016 8:16 PM, Iniciando interfase de entrada - UI...
3/23/2016 6:02 PM, Iniciando interfase de entrada - UI...
3/23/2016 6:03 PM, Iniciando interfase de entrada - UI...
3/23/2016 6:04 PM, Iniciando interfase de entrada - UI...
3/23/2016 6:05 PM, Iniciando interfase de entrada - UI...
3/23/2016 6:16 PM, Iniciando interfase de entrada - UI...
3/23/2016 6:28 PM, Iniciando interfase de entrada - UI...
